design,def_file,hpwl
mgc_fft_a,output/iterations/iteration_8_rl_training.def,
mgc_fft_a,output/iterations/iteration_0_initial.def,
mgc_fft_a,output/iterations/iteration_1_rl_training.def,
mgc_fft_a,output/iterations/iteration_6_rl_training.def,
mgc_fft_a,output/iterations/iteration_9_rl_training.def,
mgc_fft_a,output/iterations/iteration_3_rl_training.def,
mgc_fft_a,output/iterations/iteration_4_rl_training.def,
mgc_fft_a,output/iterations/iteration_5_rl_training.def,
mgc_fft_a,output/iterations/iteration_10_rl_training.def,
mgc_fft_a,output/iterations/iteration_2_rl_training.def,
mgc_superblue11_a,output/iterations/iteration_7_rl_training.def,
mgc_superblue11_a,output/iterations/iteration_8_rl_training.def,
mgc_superblue11_a,output/iterations/iteration_0_initial.def,
mgc_superblue11_a,output/iterations/iteration_1_rl_training.def,
mgc_superblue11_a,output/iterations/iteration_6_rl_training.def,
mgc_superblue11_a,output/iterations/iteration_9_rl_training.def,
mgc_superblue11_a,output/iterations/iteration_3_rl_training.def,
mgc_superblue11_a,output/iterations/iteration_4_rl_training.def,
mgc_superblue11_a,output/iterations/iteration_5_rl_training.def,
mgc_superblue11_a,output/iterations/iteration_10_rl_training.def,
mgc_superblue11_a,output/iterations/iteration_2_rl_training.def,
mgc_superblue12,output/iterations/iteration_7_rl_training.def,
mgc_superblue12,output/iterations/iteration_0_initial.def,
mgc_superblue12,output/iterations/iteration_1_rl_training.def,
mgc_superblue12,output/iterations/iteration_6_rl_training.def,
mgc_superblue12,output/iterations/iteration_3_rl_training.def,
mgc_superblue12,output/iterations/iteration_4_rl_training.def,
mgc_superblue12,output/iterations/iteration_5_rl_training.def,
mgc_superblue12,output/iterations/iteration_2_rl_training.def,
mgc_matrix_mult_b,output/iterations/iteration_7_rl_training.def,
mgc_matrix_mult_b,output/iterations/iteration_8_rl_training.def,
mgc_matrix_mult_b,output/iterations/iteration_0_initial.def,
mgc_matrix_mult_b,output/iterations/iteration_1_rl_training.def,
mgc_matrix_mult_b,output/iterations/iteration_6_rl_training.def,
mgc_matrix_mult_b,output/iterations/iteration_9_rl_training.def,
mgc_matrix_mult_b,output/iterations/iteration_3_rl_training.def,
mgc_matrix_mult_b,output/iterations/iteration_4_rl_training.def,
mgc_matrix_mult_b,output/iterations/iteration_5_rl_training.def,
mgc_matrix_mult_b,output/iterations/iteration_10_rl_training.def,
mgc_matrix_mult_b,output/iterations/iteration_2_rl_training.def,
mgc_fft_1,output/iterations/iteration_8_rl_training.def,
mgc_fft_1,output/iterations/iteration_0_initial.def,
mgc_fft_1,output/iterations/iteration_6_rl_training.def,
mgc_fft_1,output/iterations/iteration_4_rl_training.def,
mgc_fft_1,output/iterations/iteration_10_rl_training.def,
mgc_fft_1,output/iterations/iteration_2_rl_training.def,
mgc_pci_bridge32_a,output/iterations/iteration_7_rl_training.def,
mgc_pci_bridge32_a,output/iterations/iteration_8_rl_training.def,
mgc_pci_bridge32_a,output/iterations/iteration_0_initial.def,
mgc_pci_bridge32_a,output/iterations/iteration_1_rl_training.def,
mgc_pci_bridge32_a,output/iterations/iteration_6_rl_training.def,
mgc_pci_bridge32_a,output/iterations/iteration_9_rl_training.def,
mgc_pci_bridge32_a,output/iterations/iteration_3_rl_training.def,
mgc_pci_bridge32_a,output/iterations/iteration_4_rl_training.def,
mgc_pci_bridge32_a,output/iterations/iteration_5_rl_training.def,
mgc_pci_bridge32_a,output/iterations/iteration_10_rl_training.def,
mgc_pci_bridge32_a,output/iterations/iteration_2_rl_training.def,
mgc_des_perf_b,output/iterations/iteration_8_rl_training.def,
mgc_des_perf_b,output/iterations/iteration_0_initial.def,
mgc_des_perf_b,output/iterations/iteration_6_rl_training.def,
mgc_des_perf_b,output/iterations/iteration_4_rl_training.def,
mgc_des_perf_b,output/iterations/iteration_10_rl_training.def,
mgc_des_perf_b,output/iterations/iteration_2_rl_training.def,
mgc_edit_dist_a,output/iterations/iteration_7_rl_training.def,
mgc_edit_dist_a,output/iterations/iteration_8_rl_training.def,
mgc_edit_dist_a,output/iterations/iteration_0_initial.def,
mgc_edit_dist_a,output/iterations/iteration_1_rl_training.def,
mgc_edit_dist_a,output/iterations/iteration_6_rl_training.def,
mgc_edit_dist_a,output/iterations/iteration_9_rl_training.def,
mgc_edit_dist_a,output/iterations/iteration_3_rl_training.def,
mgc_edit_dist_a,output/iterations/iteration_4_rl_training.def,
mgc_edit_dist_a,output/iterations/iteration_5_rl_training.def,
mgc_edit_dist_a,output/iterations/iteration_10_rl_training.def,
mgc_edit_dist_a,output/iterations/iteration_2_rl_training.def,
mgc_fft_2,output/iterations/iteration_8_rl_training.def,
mgc_fft_2,output/iterations/iteration_0_initial.def,
mgc_fft_2,output/iterations/iteration_1_rl_training.def,
mgc_fft_2,output/iterations/iteration_6_rl_training.def,
mgc_fft_2,output/iterations/iteration_3_rl_training.def,
mgc_fft_2,output/iterations/iteration_4_rl_training.def,
mgc_fft_2,output/iterations/iteration_10_rl_training.def,
mgc_fft_2,output/iterations/iteration_2_rl_training.def,
mgc_matrix_mult_a,output/iterations/iteration_7_rl_training.def,
mgc_matrix_mult_a,output/iterations/iteration_8_rl_training.def,
mgc_matrix_mult_a,output/iterations/iteration_0_initial.def,
mgc_matrix_mult_a,output/iterations/iteration_1_rl_training.def,
mgc_matrix_mult_a,output/iterations/iteration_6_rl_training.def,
mgc_matrix_mult_a,output/iterations/iteration_9_rl_training.def,
mgc_matrix_mult_a,output/iterations/iteration_3_rl_training.def,
mgc_matrix_mult_a,output/iterations/iteration_4_rl_training.def,
mgc_matrix_mult_a,output/iterations/iteration_5_rl_training.def,
mgc_matrix_mult_a,output/iterations/iteration_10_rl_training.def,
mgc_matrix_mult_a,output/iterations/iteration_2_rl_training.def,
mgc_matrix_mult_1,output/iterations/iteration_8_rl_training.def,
mgc_matrix_mult_1,output/iterations/iteration_0_initial.def,
mgc_matrix_mult_1,output/iterations/iteration_6_rl_training.def,
mgc_matrix_mult_1,output/iterations/iteration_4_rl_training.def,
mgc_matrix_mult_1,output/iterations/iteration_10_rl_training.def,
mgc_matrix_mult_1,output/iterations/iteration_2_rl_training.def,
mgc_fft_b,output/iterations/iteration_7_rl_training.def,
mgc_fft_b,output/iterations/iteration_8_rl_training.def,
mgc_fft_b,output/iterations/iteration_0_initial.def,
mgc_fft_b,output/iterations/iteration_1_rl_training.def,
mgc_fft_b,output/iterations/iteration_6_rl_training.def,
mgc_fft_b,output/iterations/iteration_9_rl_training.def,
mgc_fft_b,output/iterations/iteration_3_rl_training.def,
mgc_fft_b,output/iterations/iteration_4_rl_training.def,
mgc_fft_b,output/iterations/iteration_5_rl_training.def,
mgc_fft_b,output/iterations/iteration_10_rl_training.def,
mgc_fft_b,output/iterations/iteration_2_rl_training.def,
